host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,amenities,price,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
within an hour,100.0,1.0,t,"['email', 'phone', 'work_email']",t,t,Entire guest suite,Entire home/apt,"[""Lockbox"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Iron"", ""Self check-in"", ""Mini fridge"", ""Coffee maker"", ""Hot water"", ""Free street parking"", ""Microwave"", ""Smoke alarm"", ""Fire extinguisher"", ""Hair dryer"", ""Shampoo"", ""TV with Netflix""]",68.0,t,f,1.0,1.0,2.0,1.0,1,1.0,2.0,14,2.0,14.0,2,9,26,108,30.0,2,4.96,4.99,4.98,4.99,4.98,4.98,4.97,1,3.44
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Shared backyard \u2013 Not fully fenced"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Wifi"", ""Blender"", ""Mountain view"", ""Stove"", ""Lockbox"", ""First aid kit"", ""Body soap"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Shared patio or balcony"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Free washer \u2013 In unit"", ""Board games"", ""Kitchen"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""TV with standard cable"", ""Room-darkening shades""]",164.0,t,t,1.0,1.0,6.0,2.5,3,3.0,1.0,1125,1.0,1125.0,19,35,65,288,15.6,1,4.96,4.97,4.93,4.97,4.98,4.86,4.85,1,1.8
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Blender"", ""TV with standard cable"", ""Indoor fireplace"", ""Stove"", ""Lockbox"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Fast wifi \u2013 224 Mbps"", ""Dedicated workspace"", ""Heating"", ""Free washer \u2013 In unit"", ""Oven"", ""Free dryer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",385.0,t,t,6.1,8.6,6.0,2.5,3,4.0,1.0,1125,2.3,425.7,21,35,51,228,8.0,1,4.84,4.89,4.95,4.95,5.0,5.0,4.84,3,0.35
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Coffee maker"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Indoor fireplace: wood-burning"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Fire pit"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Free washer \u2013 In unit"", ""Dining table"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",675.0,t,t,6.1,8.6,4.5,3.0,4,2.3,1.0,1125,1.8,661.5,18,25,43,151,5.0,1,5.0,4.9,4.76,5.0,4.86,5.0,4.71,3,0.41
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Lockbox"", ""Pets allowed"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Oven"", ""Free dryer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",300.0,t,t,6.1,8.6,6.0,2.0,2,3.0,1.0,1125,2.7,169.5,17,38,68,321,7.0,0,4.82,4.9,4.9,4.82,4.91,4.95,4.9,3,0.33
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Lockbox"", ""Pets allowed"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Free dryer \u2013 In unit"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",425.0,t,t,6.1,8.6,6.0,2.5,3,4.0,1.0,1125,2.5,319.4,16,29,45,273,4.0,0,4.83,4.79,4.9,5.0,4.76,4.9,4.9,3,0.42
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Lockbox"", ""Wifi \u2013 1 Mbps"", ""Pets allowed"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Free washer \u2013 In unit"", ""Dining table"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",548.0,t,t,6.1,8.6,8.0,3.5,4,2.3,1.0,1125,2.8,156.8,21,38,59,322,7.0,0,4.88,5.0,4.88,4.88,4.76,4.96,4.8,3,0.41
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Lockbox"", ""Pets allowed"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Free washer \u2013 In unit"", ""Dining table"", ""Oven"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",198.4130841,t,t,6.1,8.6,5.0,2.1,2,2.6,1.0,1125,2.2,449.2,26,49,61,223,3.0,1,4.86,5.0,4.97,4.89,4.83,4.94,4.71,3,0.45
within an hour,97.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Blender"", ""TV with standard cable"", ""Stove"", ""Lockbox"", ""Coffee maker"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Free washer \u2013 In unit"", ""Dining table"", ""Oven"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Fast wifi \u2013 104 Mbps"", ""Mini fridge"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",345.0,t,t,6.1,8.6,6.0,2.5,3,4.0,1.0,1125,2.9,85.2,25,49,74,344,6.0,1,4.88,4.94,4.94,4.78,4.84,4.96,4.8,3,0.85
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire guest suite,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Coffee maker: drip coffee maker, Keurig coffee machine, pour-over coffee"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Outdoor furniture"", ""Clothing storage"", ""Safe"", ""Exterior security cameras on property"", ""First aid kit"", ""TV"", ""Long term stays allowed"", ""Fast wifi \u2013 323 Mbps"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Shared patio or balcony"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Fire pit"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Gas stove"", ""Board games"", ""Dining table"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Carina Organics body soap"", ""Smoke alarm"", ""Cooking basics"", ""Shared backyard \u2013 Fully fenced"", ""Shampoo"", ""Kitchen""]",169.0,t,t,2.0,2.0,4.0,1.0,2,2.0,2.0,1125,2.0,1125.0,23,50,75,279,58.0,2,4.94,4.93,4.96,4.98,5.0,5.0,4.88,1,4.81
within an hour,90.0,0.99,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",277.0,t,f,22.0,38.0,7.0,2.0,3,4.0,3.0,1125,5.2,1125.0,30,53,83,308,3.0,0,4.95,5.0,4.9,5.0,5.0,5.0,4.75,3,0.27
within an hour,100.0,1.0,t,"['email', 'phone', 'work_email']",t,t,Entire condo,Entire home/apt,"[""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free driveway parking on premises \u2013 1 space"", ""Microwave"", ""Outdoor furniture"", ""55 inch HDTV"", ""Kitchen Aid  electric stove"", ""Courtyard view"", ""Exterior security cameras on property"", ""First aid kit"", ""Long term stays allowed"", ""Tarocco conditioner"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""City skyline view"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Tarocco body soap"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Fire pit"", ""Coffee maker: drip coffee maker"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Wine glasses"", ""Iron"", ""Kitchen Aid stainless steel oven"", ""Bikes"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Hot water"", ""Ceiling fan"", ""Tarocco shampoo"", ""Fast wifi \u2013 128 Mbps"", ""Coffee"", ""Fischer & Paykel refrigerator"", ""Smoke alarm"", ""Cooking basics"", ""Private BBQ grill: gas"", ""Private patio or balcony"", ""Free street parking"", ""Keypad"", ""Kitchen"", ""Room-darkening shades""]",233.0,t,f,7.0,10.0,4.0,1.0,2,2.0,1.0,360,2.1,1125.0,18,37,48,315,40.0,1,4.99,4.96,4.97,4.98,4.98,5.0,4.85,7,2.89
within an hour,100.0,0.99,t,"['email', 'phone']",t,f,Private room in home,Private room,"[""Radiant heating"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Stainless steel oven"", ""Microwave"", ""Outdoor furniture"", ""Blender"", ""Lockbox"", ""Lock on bedroom door"", ""BBQ grill: gas"", ""Cleaning products"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Coffee maker: pour-over coffee"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Usually OGX or Andalou Naturals conditioner"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Gas stove"", ""Wine glasses"", ""Dining table"", ""Iron"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Clothing storage: walk-in closet"", ""Private patio or balcony"", ""Fast wifi \u2013 228 Mbps"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",69.0,t,f,2.0,3.0,3.0,1.0,1,2.0,1.0,9,1.0,9.0,12,12,12,12,15.6,4,4.98,4.99,4.97,4.99,4.99,4.98,4.91,2,1.8
within a day,67.0,0.24,f,"['email', 'phone']",t,t,Entire rental unit,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Washer"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Shampoo"", ""Kitchen""]",127.0,t,f,3.0,4.0,5.0,1.0,2,2.0,1.0,7,1.0,1125.0,19,42,72,72,15.6,1,4.85,4.9,4.86,4.95,4.93,4.91,4.75,3,5.16
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Laundromat nearby"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Mountain view"", ""Stove"", ""Exterior security cameras on property"", ""First aid kit"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Table corner guards"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Dining table"", ""Oven"", ""Iron"", ""Hot water"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",140.0,t,t,5.0,5.0,4.0,1.5,2,2.0,2.0,1125,2.6,1125.0,0,0,0,183,6.0,1,4.91,4.93,4.95,5.0,4.96,4.91,4.7,5,0.69
within an hour,99.0,0.99,f,"['email', 'phone']",t,f,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""First aid kit"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""BBQ grill"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Washer"", ""Board games"", ""Oven"", ""Iron"", ""Hot water"", ""Ceiling fan"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Keypad"", ""Kitchen"", ""Ethernet connection""]",87.0,t,t,6.1,8.6,4.0,1.0,2,2.0,28.0,1125,28.0,1125.0,9,39,69,344,5.0,1,4.9,4.9,4.9,4.9,5.0,4.9,4.9,12,0.19
within an hour,100.0,0.78,f,"['email', 'phone', 'work_email']",t,t,Entire bungalow,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Books and reading material"", ""Outdoor furniture"", ""Wifi"", ""Indoor fireplace"", ""Lockbox"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Hair dryer"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Iron"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Shampoo"", ""Kitchen""]",270.0,t,f,1.0,3.0,6.0,1.6,4,3.0,3.0,1125,3.0,1125.0,12,23,53,281,2.0,0,5.0,5.0,5.0,4.97,5.0,5.0,4.89,1,0.49
within an hour,90.0,0.99,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Essentials"", ""EV charger"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Bikes"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",167.0,t,f,22.0,38.0,5.0,1.0,2,3.0,3.0,1125,4.7,1125.0,20,50,80,303,3.0,0,5.0,4.92,4.95,4.95,4.92,5.0,4.89,3,0.47
within an hour,90.0,0.99,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Stove"", ""TV"", ""Coffee maker"", ""Gym"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",386.0,t,f,22.0,38.0,5.0,2.5,2,4.0,4.0,1125,6.4,1125.0,0,0,0,138,1.0,0,4.76,4.76,4.76,4.82,4.76,4.9,4.9,3,0.22
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire home,Entire home/apt,"[""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Books and reading material"", ""Outdoor furniture"", ""Wifi"", ""Body soap"", ""Exercise equipment: free weights"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""Smart lock"", ""Self check-in"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker"", ""Single level home"", ""Clothing storage: closet"", ""Heating"", ""Wine glasses"", ""Iron"", ""Mini fridge"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Private patio or balcony"", ""Shampoo"", ""Room-darkening shades""]",95.0,t,f,1.0,1.0,2.0,1.0,1,1.0,1.0,30,1.0,1125.0,10,10,10,98,42.0,5,4.98,5.0,4.99,5.0,5.0,4.99,4.95,1,2.69
within an hour,100.0,1.0,t,"['email', 'phone', 'work_email']",t,t,Entire townhouse,Entire home/apt,"[""Children\u2019s dinnerware"", ""Refrigerator"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Hangers"", ""Private entrance"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Blender"", ""Drying rack for clothing"", ""Safe"", ""Exterior security cameras on property"", ""First aid kit"", ""Body soap"", ""Fast wifi \u2013 333 Mbps"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""High chair"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Essentials"", ""Baby monitor"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Kitchen"", ""Wine glasses"", ""Oven"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Electric stove"", ""Hot water"", ""Coffee"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shampoo"", ""TV with standard cable"", ""Room-darkening shades""]",205.0,t,f,1.0,1.0,8.0,2.0,3,2.3,3.0,140,3.0,1125.0,30,54,84,122,19.0,1,4.99,4.97,5.0,5.0,4.99,4.93,4.89,1,2.61
within an hour,99.0,0.99,f,"['email', 'phone']",t,f,Entire condo,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Indoor fireplace"", ""Exterior security cameras on property"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""High chair"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Washer"", ""Board games"", ""Oven"", ""Iron"", ""Hot water"", ""Ceiling fan"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen"", ""Ethernet connection""]",328.0,t,t,6.1,8.6,8.0,3.5,4,4.0,4.0,1125,4.0,1125.0,16,33,51,287,7.0,1,4.96,4.96,4.98,4.92,5.0,4.92,4.86,12,0.69
within an hour,90.0,0.99,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Private entrance"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Dryer"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Washer"", ""Oven"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",247.0,t,f,22.0,38.0,6.0,2.5,3,4.0,2.0,1125,4.9,1125.0,19,32,62,268,11.0,0,5.0,5.0,4.92,4.97,5.0,5.0,4.87,3,0.51
within an hour,100.0,0.99,t,"['email', 'phone']",t,f,Entire home,Entire home/apt,"[""Radiant heating"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Coffee maker: drip coffee maker, pour-over coffee"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Microwave"", ""Outdoor furniture"", ""Blender"", ""Drying rack for clothing"", ""Stove"", ""First aid kit"", ""Body soap"", ""Pets allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""55 inch HDTV with Amazon Prime Video, HBO Max, Apple TV, Netflix, Hulu"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Built-in stereo w/ subwoofer, plays TV/AppleTV sounds.  If you can steam your device to the AppleTV, it would play that content. sound system"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Exercise equipment: yoga mat"", ""Free dryer \u2013 In unit"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Private patio or balcony"", ""Private BBQ grill: gas"", ""Free street parking"", ""Smoke alarm"", ""Fast wifi \u2013 269 Mbps"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Free carport on premises \u2013 1 space"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",449.0,t,f,2.0,3.0,7.0,3.0,6,4.0,4.0,365,4.0,1125.0,0,16,16,16,0.0,0,5.0,4.9,5.0,5.0,5.0,5.0,4.9,2,0.13
within an hour,100.0,1.0,t,"['email', 'phone']",t,t,Entire townhouse,Entire home/apt,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Hangers"", ""Free parking on premises"", ""Wifi"", ""First aid kit"", ""TV"", ""Coffee maker"", ""Long term stays allowed"", ""Fire extinguisher"", ""Hair dryer"", ""Essentials"", ""Dishes and silverware"", ""Heating"", ""Backyard"", ""Iron"", ""Hot water"", ""Smoke alarm"", ""Shampoo"", ""Kitchen""]",169.0,t,t,2.0,2.0,4.0,1.0,2,2.0,3.0,180,3.0,1125.0,20,42,72,72,26.0,2,4.8,4.9,4.9,4.97,4.93,4.98,4.75,2,2.13
